0:1	Account: mrhung1	 Name: sadadsadsa	 Level: 80	 IP Address: 42.114.31.43 : 50793
6:47	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51860
6:48	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51863
6:49	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51866
6:58	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51874
7:0	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51877
7:2	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51880
7:7	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51888
7:9	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51891
7:10	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51894
7:16	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51899
7:18	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51906
7:20	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51910
7:23	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51914
7:28	Account: luukt53	 Name: NgoalongVD	 Level: 131	 IP Address: 115.75.51.168 : 61804
7:30	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51918
7:34	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51922
7:36	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51927
7:40	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51931
7:41	Account: vunguyen1988	 Name: 111111111	 Level: 106	 IP Address: 27.75.46.206 : 49435
7:42	Account: vunguyen1984	 Name: BinBin	 Level: 96	 IP Address: 27.75.46.206 : 49440
7:43	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51936
7:46	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51942
7:54	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51947
8:17	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 122	 IP Address: 1.55.216.128 : 31803
9:1	Account: timlaivohien	 Name: EyeSmile	 Level: 100	 IP Address: 14.233.97.112 : 34753
9:5	Account: timlaivohien1	 Name: EyeSmile2	 Level: 94	 IP Address: 14.233.97.112 : 45377
9:6	Account: timlaivohien2	 Name: EyeSmile6	 Level: 93	 IP Address: 14.233.97.112 : 51905
9:7	Account: timlaivohien3	 Name: EyeSmile7	 Level: 91	 IP Address: 14.233.97.112 : 53217
9:29	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 122	 IP Address: 118.71.196.71 : 27262
9:29	Account: bando	 Name: HDÙMÑThiªnH¹	 Level: 122	 IP Address: 118.71.196.71 : 23548
9:29	Account: timlaivohien	 Name: 121324	 Level: 1	 IP Address: 14.233.97.112 : 6049
9:36	Account: bomsin03	 Name: §anTr­êng	 Level: 80	 IP Address: 116.111.230.233 : 50409
9:39	Account: timlaivohien	 Name: 121324	 Level: 80	 IP Address: 14.233.97.112 : 49313
9:43	Account: timlaivohien	 Name: 121324	 Level: 80	 IP Address: 14.233.97.112 : 10593
9:47	Account: bomsin03	 Name: §anTr­êng	 Level: 80	 IP Address: 116.111.230.233 : 50201
9:48	Account: gcity01	 Name: nvmoi02	 Level: 80	 IP Address: 42.117.65.88 : 8631
9:48	Account: gcity02	 Name: 5docne	 Level: 83	 IP Address: 42.117.65.88 : 5286
9:49	Account: gcity02	 Name: nvmoi03	 Level: 81	 IP Address: 42.117.65.88 : 32050
9:49	Account: gcity02	 Name: 5docne	 Level: 85	 IP Address: 42.117.65.88 : 58862
9:49	Account: gcity03	 Name: nvmoi04	 Level: 83	 IP Address: 42.117.65.88 : 42435
9:50	Account: gcity04	 Name: nvmoi01	 Level: 80	 IP Address: 42.117.65.88 : 54472
