0:1	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53348
4:44	Account: sangtpbrvt	 Name: SangTp	 Level: 107	 IP Address: 171.249.86.126 : 51606
4:45	Account: sangtpbrvt	 Name: SangTp	 Level: 107	 IP Address: 171.249.86.126 : 51609
4:46	Account: sangtpbrvt4	 Name: SangTp444	 Level: 92	 IP Address: 171.249.86.126 : 51615
4:46	Account: sangtpbrvt3	 Name: SangTp333	 Level: 91	 IP Address: 171.249.86.126 : 51619
4:47	Account: sangtpbrvt3	 Name: SangTp333	 Level: 91	 IP Address: 171.249.86.126 : 51622
4:47	Account: sangtpbrvt2	 Name: SangTp222	 Level: 92	 IP Address: 171.249.86.126 : 51625
4:47	Account: sangtpbrvt2	 Name: SangTp222	 Level: 92	 IP Address: 171.249.86.126 : 51628
4:48	Account: sangtpbrvt1	 Name: SangTp111	 Level: 93	 IP Address: 171.249.86.126 : 51630
4:48	Account: ribi01	 Name: RiBi01	 Level: 104	 IP Address: 14.245.58.184 : 3421
4:49	Account: sangtpbrvt6	 Name: SangTp666	 Level: 91	 IP Address: 171.249.86.126 : 51633
4:50	Account: ribi01	 Name: RiBi01	 Level: 104	 IP Address: 14.245.58.184 : 3437
5:4	Account: sangtpbrvt	 Name: SangTp	 Level: 107	 IP Address: 171.249.86.126 : 49740
5:6	Account: sangtpbrvt2	 Name: SangTp222	 Level: 92	 IP Address: 171.249.86.126 : 49757
5:8	Account: ribi02	 Name: RIBI02	 Level: 100	 IP Address: 14.245.58.184 : 3557
5:9	Account: sangtpbrvt5	 Name: SangTp5	 Level: 80	 IP Address: 171.249.86.126 : 49786
5:17	Account: sangtpbrvt5	 Name: Sangdsdfsdf	 Level: 80	 IP Address: 171.249.86.126 : 49799
5:18	Account: sangtpbrvt7	 Name: sdfdfsdfsdf	 Level: 80	 IP Address: 171.249.86.126 : 49802
5:18	Account: sangtpbrvt7	 Name: SangTpaaa	 Level: 80	 IP Address: 171.249.86.126 : 49804
